timestamp,turbine_id,temperature_c,vibration_mm_s,rpm
15/04/2026 18:48,T-09,71.5,10.3,16.9
15/04/2026 18:49,T-02,56.4,11,12.3
15/04/2026 18:50,T-06,53.1,7.6,16.6
15/04/2026 18:51,T-04,90,8.9,16.6
15/04/2026 18:52,T-05,75,7.3,17.5
15/04/2026 18:53,T-07,64.9,23.5,17.6
15/04/2026 18:54,T-08,75.8,2.6,15.4
15/04/2026 18:55,T-06,65.4,7.2,13.7
15/04/2026 18:56,T-09,58.9,4.2,17.6
15/04/2026 18:57,T-02,54.6,2.8,12.7
15/04/2026 18:58,T-01,50.6,4.9,12.7
15/04/2026 18:59,T-03,56,8.1,16
15/04/2026 19:00,T-05,53.7,2.1,15.6
15/04/2026 19:01,T-07,69.6,17.6,17.5
15/04/2026 19:02,T-09,50.1,6.8,17.6
15/04/2026 19:03,T-05,68.6,11,17.5
15/04/2026 19:04,T-07,68.8,22.4,17.2
15/04/2026 19:05,T-04,95,6.7,15.1
15/04/2026 19:06,T-02,66.9,2.5,17.3
15/04/2026 19:07,T-08,63.2,9.4,16.9
15/04/2026 19:08,T-09,56.4,9,12.2
15/04/2026 19:09,T-01,62.1,10.3,16
15/04/2026 19:10,T-05,57.8,3.8,13.6
15/04/2026 19:11,T-03,56,8.8,13.4
15/04/2026 19:12,T-09,76.1,4,12.6
15/04/2026 19:13,T-06,55.4,2.8,17.6
15/04/2026 19:14,T-06,67.3,5.9,15.1
15/04/2026 19:15,T-04,86.7,7.1,17.4
15/04/2026 19:16,T-02,66.9,8.4,13.9
15/04/2026 19:17,T-08,70.8,8,16.3
15/04/2026 19:18,T-04,92.1,8.6,13.7
15/04/2026 19:19,T-06,52,11.8,16.9
15/04/2026 19:20,T-01,65,6.2,15.7
15/04/2026 19:21,T-09,71.5,10.5,12.9
15/04/2026 19:22,T-08,66.7,12,14
15/04/2026 19:23,T-03,61.1,2.3,15.1
15/04/2026 19:24,T-04,92.9,5.1,12.8
15/04/2026 19:25,T-10,53.8,9.3,12.6
15/04/2026 19:26,T-09,55.1,3.7,13.8
